epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0774,1.65293,3.82044,1.57691,0.00377,0.77778,0.01185,0.00648,0.99405,3.35084,1.25507,0.00026,0.00026,0.00026
2,73.9499,1.45944,3.30885,1.28288,0.00412,0.88889,0.01449,0.00984,1.17584,3.19298,1.14183,0.000529308,0.000529308,0.000529308
3,114.247,1.43994,3.07762,1.34536,0.00386,1,0.13698,0.11841,1.06683,2.84565,0.97487,0.000787528,0.000787528,0.000787528
4,154.566,1.36568,2.51714,1.2522,1,0.60956,0.8919,0.48127,1.17519,2.09096,1.0418,0.00103466,0.00103466,0.00103466
5,194.791,1.67051,2.24643,1.34044,1,0.60956,0.8919,0.48127,1.17519,2.09096,1.0418,0.0012707,0.0012707,0.0012707
6,234.662,1.48153,1.81838,1.17068,0.84255,0.66667,0.78966,0.37062,1.58103,1.78799,1.53486,0.00149566,0.00149566,0.00149566
7,271.999,1.4427,1.75531,1.15476,0.84255,0.66667,0.78966,0.37062,1.58103,1.78799,1.53486,0.00170953,0.00170953,0.00170953
8,312.237,1.58667,2.00699,1.17702,0.80333,0.45553,0.71114,0.31946,1.78246,2.3715,1.60957,0.0017228,0.0017228,0.0017228
9,352.342,1.8521,2.26861,1.38765,0.80333,0.45553,0.71114,0.31946,1.78246,2.3715,1.60957,0.0016832,0.0016832,0.0016832
10,392.484,1.83621,2.41485,1.34378,0.80333,0.45553,0.71114,0.31946,1.78246,2.3715,1.60957,0.0016436,0.0016436,0.0016436
11,432.743,1.52269,1.71632,1.18758,0.73977,0.55556,0.63667,0.30993,1.49123,1.88179,1.37002,0.001604,0.001604,0.001604
12,472.912,1.54166,2.24427,1.22299,0.73977,0.55556,0.63667,0.30993,1.49123,1.88179,1.37002,0.0015644,0.0015644,0.0015644
13,513.098,1.60926,1.94052,1.28398,0.70005,0.66667,0.60289,0.34613,1.54182,1.9376,1.38836,0.0015248,0.0015248,0.0015248
14,553.236,1.63365,2.05957,1.24445,0.70005,0.66667,0.60289,0.34613,1.54182,1.9376,1.38836,0.0014852,0.0014852,0.0014852
15,877.273,1.67865,1.9494,1.22277,0.76403,0.77778,0.811,0.41926,1.28978,1.74895,1.16199,0.0014456,0.0014456,0.0014456
